01:00:10 INFO  manager.ApplicationManager - Tests start on Chrome
01:00:11 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Search ']
01:00:11 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Search '] is found
01:00:11 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: h1
01:00:11 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: h1 is found
01:00:11 INFO  manager.WebDriverListener - Start searching element ----> By.id: city
01:00:11 INFO  manager.WebDriverListener - Element with locator ----> By.id: city is found
01:00:12 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: div.pac-item
01:00:12 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: div.pac-item is found
01:00:12 INFO  manager.WebDriverListener - Start searching element ----> By.id: dates
01:00:12 INFO  manager.WebDriverListener - Element with locator ----> By.id: dates is found
01:00:12 INFO  manager.WebDriverListener - Something went wrong!
01:00:12 INFO  manager.WebDriverListener - Keys to send should be a not null CharSequence
01:00:12 INFO  manager.WebDriverListener - java.lang.IllegalArgumentException: Keys to send should be a not null CharSequence
01:00:12 INFO  manager.WebDriverListener - This is a link to screenshot with error ---> src/test/screenshots/screen-12.png
