19:32:56 INFO  manager.ApplicationManager - Tests start on Chrome
19:32:58 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Logout ']
19:33:03 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Logout '] is found
19:33:03 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Log in ']
19:33:03 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Log in '] is found
19:33:03 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //input[@id='email']
19:33:03 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //input[@id='email'] is found
19:33:04 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //input[@id='password']
19:33:04 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //input[@id='password'] is found
19:33:05 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
19:33:05 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
19:33:05 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='button']
19:33:06 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='button'] is found
19:33:11 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //a[.=' Let the car work ']
19:33:11 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //a[.=' Let the car work '] is found
19:33:11 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: h2
19:33:11 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: h2 is found
19:33:11 INFO  manager.WebDriverListener - Start searching element ----> By.id: pickUpPlace
19:33:11 INFO  manager.WebDriverListener - Element with locator ----> By.id: pickUpPlace is found
19:33:12 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: div.pac-item
19:33:12 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: div.pac-item is found
19:33:12 INFO  manager.WebDriverListener - Start searching element ----> By.id: make
19:33:12 INFO  manager.WebDriverListener - Element with locator ----> By.id: make is found
19:33:13 INFO  manager.WebDriverListener - Start searching element ----> By.id: model
19:33:13 INFO  manager.WebDriverListener - Element with locator ----> By.id: model is found
19:33:14 INFO  manager.WebDriverListener - Start searching element ----> By.id: year
19:33:14 INFO  manager.WebDriverListener - Element with locator ----> By.id: year is found
19:33:15 INFO  manager.WebDriverListener - Start searching element ----> By.id: fuel
19:33:15 INFO  manager.WebDriverListener - Element with locator ----> By.id: fuel is found
19:33:15 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: .//option[@value = "Diesel"]
19:33:15 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: .//option[@value = "Diesel"] is found
19:33:15 INFO  manager.WebDriverListener - Start searching element ----> By.id: seats
19:33:16 INFO  manager.WebDriverListener - Element with locator ----> By.id: seats is found
19:33:17 INFO  manager.WebDriverListener - Start searching element ----> By.id: class
19:33:17 INFO  manager.WebDriverListener - Element with locator ----> By.id: class is found
19:33:18 INFO  manager.WebDriverListener - Start searching element ----> By.id: serialNumber
19:33:18 INFO  manager.WebDriverListener - Element with locator ----> By.id: serialNumber is found
19:33:19 INFO  manager.WebDriverListener - Start searching element ----> By.id: price
19:33:19 INFO  manager.WebDriverListener - Element with locator ----> By.id: price is found
19:33:20 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
19:33:20 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
19:33:20 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //h1[normalize-space()='Car added']
19:33:20 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //h1[normalize-space()='Car added'] is found
19:33:20 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[normalize-space()='Search cars']
19:33:20 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[normalize-space()='Search cars'] is found
19:33:20 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Logout ']
19:33:20 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Logout '] is found
19:33:25 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //a[.=' Let the car work ']
19:33:25 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //a[.=' Let the car work '] is found
19:33:25 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: h2
19:33:25 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: h2 is found
19:33:25 INFO  manager.WebDriverListener - Start searching element ----> By.id: pickUpPlace
19:33:25 INFO  manager.WebDriverListener - Element with locator ----> By.id: pickUpPlace is found
19:33:27 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: div.pac-item
19:33:27 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: div.pac-item is found
19:33:27 INFO  manager.WebDriverListener - Start searching element ----> By.id: make
19:33:27 INFO  manager.WebDriverListener - Element with locator ----> By.id: make is found
19:33:28 INFO  manager.WebDriverListener - Start searching element ----> By.id: model
19:33:28 INFO  manager.WebDriverListener - Element with locator ----> By.id: model is found
19:33:29 INFO  manager.WebDriverListener - Start searching element ----> By.id: year
19:33:29 INFO  manager.WebDriverListener - Element with locator ----> By.id: year is found
19:33:30 INFO  manager.WebDriverListener - Start searching element ----> By.id: fuel
19:33:30 INFO  manager.WebDriverListener - Element with locator ----> By.id: fuel is found
19:33:30 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: .//option[@value = "Petrol"]
19:33:30 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: .//option[@value = "Petrol"] is found
19:33:30 INFO  manager.WebDriverListener - Start searching element ----> By.id: seats
19:33:30 INFO  manager.WebDriverListener - Element with locator ----> By.id: seats is found
19:33:31 INFO  manager.WebDriverListener - Start searching element ----> By.id: class
19:33:31 INFO  manager.WebDriverListener - Element with locator ----> By.id: class is found
19:33:32 INFO  manager.WebDriverListener - Start searching element ----> By.id: serialNumber
19:33:32 INFO  manager.WebDriverListener - Element with locator ----> By.id: serialNumber is found
19:33:33 INFO  manager.WebDriverListener - Start searching element ----> By.id: price
19:33:33 INFO  manager.WebDriverListener - Element with locator ----> By.id: price is found
19:33:34 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
19:33:34 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
19:33:34 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //h1[normalize-space()='Car added']
19:33:35 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //h1[normalize-space()='Car added'] is found
19:33:35 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[normalize-space()='Search cars']
19:33:35 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[normalize-space()='Search cars'] is found
19:33:35 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Logout ']
19:33:35 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Logout '] is found
19:33:40 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //a[.=' Let the car work ']
19:33:40 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //a[.=' Let the car work '] is found
19:33:40 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: h2
19:33:40 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: h2 is found
19:33:40 INFO  manager.WebDriverListener - Start searching element ----> By.id: pickUpPlace
19:33:40 INFO  manager.WebDriverListener - Element with locator ----> By.id: pickUpPlace is found
19:33:41 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: div.pac-item
19:33:41 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: div.pac-item is found
19:33:41 INFO  manager.WebDriverListener - Start searching element ----> By.id: make
19:33:41 INFO  manager.WebDriverListener - Element with locator ----> By.id: make is found
19:33:42 INFO  manager.WebDriverListener - Start searching element ----> By.id: model
19:33:42 INFO  manager.WebDriverListener - Element with locator ----> By.id: model is found
19:33:43 INFO  manager.WebDriverListener - Start searching element ----> By.id: year
19:33:43 INFO  manager.WebDriverListener - Element with locator ----> By.id: year is found
19:33:44 INFO  manager.WebDriverListener - Start searching element ----> By.id: fuel
19:33:44 INFO  manager.WebDriverListener - Element with locator ----> By.id: fuel is found
19:33:44 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: .//option[@value = "Petrol"]
19:33:44 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: .//option[@value = "Petrol"] is found
19:33:44 INFO  manager.WebDriverListener - Start searching element ----> By.id: seats
19:33:44 INFO  manager.WebDriverListener - Element with locator ----> By.id: seats is found
19:33:45 INFO  manager.WebDriverListener - Start searching element ----> By.id: class
19:33:45 INFO  manager.WebDriverListener - Element with locator ----> By.id: class is found
19:33:46 INFO  manager.WebDriverListener - Start searching element ----> By.id: serialNumber
19:33:46 INFO  manager.WebDriverListener - Element with locator ----> By.id: serialNumber is found
19:33:47 INFO  manager.WebDriverListener - Start searching element ----> By.id: price
19:33:47 INFO  manager.WebDriverListener - Element with locator ----> By.id: price is found
19:33:48 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
19:33:48 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
19:33:48 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //h1[normalize-space()='Car added']
19:33:49 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //h1[normalize-space()='Car added'] is found
19:33:49 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[normalize-space()='Search cars']
19:33:49 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[normalize-space()='Search cars'] is found
