19:56:33 INFO  manager.ApplicationManager - Tests start on Chrome
19:56:35 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Search ']
19:56:35 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Search '] is found
19:56:35 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: h1
19:56:35 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: h1 is found
19:56:35 INFO  manager.WebDriverListener - Start searching element ----> By.id: city
19:56:35 INFO  manager.WebDriverListener - Element with locator ----> By.id: city is found
19:56:36 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: div.pac-item
19:56:36 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: div.pac-item is found
19:56:36 INFO  manager.WebDriverListener - Start searching element ----> By.id: dates
19:56:36 INFO  manager.WebDriverListener - Element with locator ----> By.id: dates is found
19:56:36 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='button']
19:56:36 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='button'] is found
19:56:36 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //td[@aria-label='2023']
19:56:37 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //td[@aria-label='2023'] is found
19:56:37 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //div[normalize-space()='OCT']
19:56:37 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //div[normalize-space()='OCT'] is found
19:56:37 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //div[normalize-space()='13']
19:56:37 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //div[normalize-space()='13'] is found
19:56:37 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //div[normalize-space()='21']
19:56:37 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //div[normalize-space()='21'] is found
19:56:37 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
19:56:37 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
19:56:42 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: .search-results
19:56:42 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: .search-results is found
