00:14:05 INFO  manager.ApplicationManager - Tests start on Chrome
00:14:06 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Search ']
00:14:06 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Search '] is found
00:14:06 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: h1
00:14:06 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: h1 is found
00:14:06 INFO  manager.WebDriverListener - Start searching element ----> By.id: city
00:14:06 INFO  manager.WebDriverListener - Element with locator ----> By.id: city is found
00:14:07 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: div.pac-item
00:14:07 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: div.pac-item is found
00:14:07 INFO  manager.WebDriverListener - Start searching element ----> By.id: dates
00:14:07 INFO  manager.WebDriverListener - Element with locator ----> By.id: dates is found
00:14:08 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
00:14:08 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
00:14:11 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: .search-results
00:14:11 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: .search-results is found
