00:04:34 INFO  manager.ApplicationManager - Tests start on Chrome
00:04:36 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Search ']
00:04:36 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Search '] is found
00:04:36 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: h1
00:04:36 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: h1 is found
00:04:36 INFO  manager.WebDriverListener - Start searching element ----> By.id: city
00:04:36 INFO  manager.WebDriverListener - Element with locator ----> By.id: city is found
00:04:37 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: div.pac-item
00:04:37 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: div.pac-item is found
00:04:37 INFO  manager.WebDriverListener - Start searching element ----> By.id: dates
00:04:37 INFO  manager.WebDriverListener - Element with locator ----> By.id: dates is found
00:04:38 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
00:04:38 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
00:04:41 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: .search-results
00:04:41 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: .search-results is found
