22:36:30 INFO  manager.ApplicationManager - Tests start on Chrome
22:36:31 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Search ']
22:36:31 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Search '] is found
22:36:31 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: h1
22:36:31 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: h1 is found
22:36:31 INFO  manager.WebDriverListener - Start searching element ----> By.id: city
22:36:31 INFO  manager.WebDriverListener - Element with locator ----> By.id: city is found
22:36:31 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: div.pac-item
22:36:32 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: div.pac-item is found
22:36:32 INFO  manager.WebDriverListener - Start searching element ----> By.id: dates
22:36:32 INFO  manager.WebDriverListener - Element with locator ----> By.id: dates is found
22:36:32 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
22:36:32 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
22:36:35 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Search ']
22:36:35 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Search '] is found
22:36:35 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: h1
22:36:35 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: h1 is found
22:36:35 INFO  manager.WebDriverListener - Start searching element ----> By.id: city
22:36:35 INFO  manager.WebDriverListener - Element with locator ----> By.id: city is found
22:36:35 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: div.pac-item
22:36:36 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: div.pac-item is found
22:36:36 INFO  manager.WebDriverListener - Start searching element ----> By.id: dates
22:36:36 INFO  manager.WebDriverListener - Element with locator ----> By.id: dates is found
22:36:36 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
22:36:36 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
22:36:39 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Search ']
22:36:39 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Search '] is found
22:36:39 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: h1
22:36:39 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: h1 is found
22:36:39 INFO  manager.WebDriverListener - Start searching element ----> By.id: city
22:36:39 INFO  manager.WebDriverListener - Element with locator ----> By.id: city is found
22:36:39 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: div.pac-item
22:36:39 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: div.pac-item is found
22:36:39 INFO  manager.WebDriverListener - Start searching element ----> By.id: dates
22:36:39 INFO  manager.WebDriverListener - Element with locator ----> By.id: dates is found
22:36:39 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
22:36:39 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
