20:11:54 INFO  manager.ApplicationManager - Tests start on Chrome
20:11:56 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Search ']
20:11:56 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Search '] is found
20:11:56 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: h1
20:11:56 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: h1 is found
20:11:56 INFO  manager.WebDriverListener - Start searching element ----> By.id: city
20:11:56 INFO  manager.WebDriverListener - Element with locator ----> By.id: city is found
20:11:57 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: div.pac-item
20:11:57 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: div.pac-item is found
20:11:57 INFO  manager.WebDriverListener - Start searching element ----> By.id: dates
20:11:57 INFO  manager.WebDriverListener - Element with locator ----> By.id: dates is found
20:11:58 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
20:11:58 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
20:12:03 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: .search-results
20:12:03 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: .search-results is found
20:12:03 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Search ']
20:12:03 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Search '] is found
20:12:03 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: h1
20:12:03 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: h1 is found
20:12:03 INFO  manager.WebDriverListener - Start searching element ----> By.id: city
20:12:03 INFO  manager.WebDriverListener - Element with locator ----> By.id: city is found
20:12:04 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: div.pac-item
20:12:04 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: div.pac-item is found
20:12:04 INFO  manager.WebDriverListener - Start searching element ----> By.id: dates
20:12:04 INFO  manager.WebDriverListener - Element with locator ----> By.id: dates is found
20:12:04 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='button']
20:12:04 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='button'] is found
20:12:04 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //td[@aria-label='2023']
20:12:04 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //td[@aria-label='2023'] is found
20:12:05 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //div[normalize-space()='OCT']
20:12:05 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //div[normalize-space()='OCT'] is found
20:12:05 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //div[normalize-space()='31']
20:12:05 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //div[normalize-space()='31'] is found
20:12:05 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //div[normalize-space()='9']
20:12:05 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //div[normalize-space()='9'] is found
20:12:05 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
20:12:05 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
20:12:10 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: .search-results
20:12:11 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: .search-results is found
