19:33:59 INFO  manager.ApplicationManager - Tests start on Chrome
19:34:00 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Logout ']
19:34:05 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Logout '] is found
19:34:06 INFO  manager.TestNgListener - Test loginPositive invoked
19:34:06 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Log in ']
19:34:06 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Log in '] is found
19:34:06 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //input[@id='email']
19:34:06 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //input[@id='email'] is found
19:34:07 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //input[@id='password']
19:34:07 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //input[@id='password'] is found
19:34:08 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
19:34:08 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
19:34:08 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //h2[contains(text(),'success')]
19:34:09 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //h2[contains(text(),'success')] is found
19:34:09 INFO  manager.TestNgListener - Test loginPositive successful
19:34:09 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='button']
19:34:09 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='button'] is found
19:34:09 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Logout ']
19:34:09 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Logout '] is found
19:34:09 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Logout ']
19:34:09 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Logout '] is found
19:34:09 INFO  manager.TestNgListener - Test loginPositiveUserDTO invoked
19:34:09 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Log in ']
19:34:09 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Log in '] is found
19:34:09 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //input[@id='email']
19:34:09 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //input[@id='email'] is found
19:34:10 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //input[@id='password']
19:34:10 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //input[@id='password'] is found
19:34:11 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
19:34:11 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
19:34:11 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //h2[contains(text(),'success')]
19:34:11 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //h2[contains(text(),'success')] is found
19:34:11 INFO  manager.TestNgListener - Test loginPositiveUserDTO successful
19:34:11 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='button']
19:34:12 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='button'] is found
19:34:12 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Logout ']
19:34:12 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Logout '] is found
19:34:12 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Logout ']
19:34:12 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Logout '] is found
19:34:12 INFO  manager.TestNgListener - Test loginPositiveUserDTO invoked
19:34:12 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Log in ']
19:34:12 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Log in '] is found
19:34:12 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //input[@id='email']
19:34:12 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //input[@id='email'] is found
19:34:13 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //input[@id='password']
19:34:13 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //input[@id='password'] is found
19:34:14 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
19:34:14 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
19:34:14 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //h2[contains(text(),'success')]
19:34:14 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //h2[contains(text(),'success')] is found
19:34:14 INFO  manager.TestNgListener - Test loginPositiveUserDTO successful
19:34:14 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='button']
19:34:14 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='button'] is found
19:34:14 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Logout ']
19:34:14 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Logout '] is found
19:34:14 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Logout ']
19:34:14 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Logout '] is found
19:34:14 INFO  manager.TestNgListener - Test loginPositiveUserDTO invoked
19:34:14 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Log in ']
19:34:14 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Log in '] is found
19:34:14 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //input[@id='email']
19:34:14 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //input[@id='email'] is found
19:34:15 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //input[@id='password']
19:34:15 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //input[@id='password'] is found
19:34:17 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
19:34:17 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
19:34:17 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //h2[contains(text(),'success')]
19:34:17 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //h2[contains(text(),'success')] is found
19:34:17 INFO  manager.TestNgListener - Test loginPositiveUserDTO successful
19:34:17 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='button']
19:34:17 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='button'] is found
19:34:17 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Logout ']
19:34:17 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Logout '] is found
19:34:17 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Logout ']
19:34:17 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Logout '] is found
19:34:17 INFO  manager.TestNgListener - Test loginPositiveUserDTO invoked
19:34:17 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Log in ']
19:34:17 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Log in '] is found
19:34:17 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //input[@id='email']
19:34:17 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //input[@id='email'] is found
19:34:18 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //input[@id='password']
19:34:18 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //input[@id='password'] is found
19:34:19 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
19:34:19 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
19:34:19 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //h2[contains(text(),'success')]
19:34:19 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //h2[contains(text(),'success')] is found
19:34:19 INFO  manager.TestNgListener - Test loginPositiveUserDTO successful
19:34:19 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='button']
19:34:20 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='button'] is found
19:34:20 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Logout ']
19:34:20 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Logout '] is found
19:34:20 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Logout ']
19:34:20 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Logout '] is found
